id,age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,product_name,promotion_usage,satisfaction_score
1,27,Male,40682,Bachelor,East,Gold,frequent,18249,Books,The Girl on the Train - Paula Hawkins,0,6
2,29,Male,15317,Masters,West,Regular,rare,4557,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,1,6
3,37,Male,38849,Bachelor,West,Silver,rare,11822,Clothing,Adidas Essentials Logo T-shirt,0,6
4,30,Male,11568,HighSchool,South,Regular,frequent,4098,Food,Cadbury Dairy Milk Chocolate Bar,0,7
5,31,Female,46952,College,North,Regular,occasional,19685,Clothing,Levi's Women's 501 Original Fit Jeans,1,5
6,38,Male,7347,Bachelor,South,Silver,occasional,2822,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,5
7,32,Female,8265,Bachelor,South,Silver,frequent,3293,Clothing,Nike Sportswear Club T-shirt,0,7
8,24,Female,47773,HighSchool,North,Regular,rare,21794,Books,The Silent Patient - Alex Michaelides,0,5
9,27,Male,19154,College,East,Regular,occasional,5819,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,5
10,28,Female,24666,HighSchool,North,Regular,rare,8779,Food,Cadbury Dairy Milk Chocolate Bar,0,6
11,35,Male,43896,HighSchool,South,Regular,rare,16158,Home,Tefal Blender,1,6
12,32,Female,40044,Bachelor,North,Silver,rare,13608,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,5
13,32,Male,6735,College,East,Silver,occasional,2450,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,1,5
14,30,Female,19034,Bachelor,East,Regular,occasional,5579,Books,Gone Girl - Gillian Flynn,1,5
15,28,Male,35748,Bachelor,North,Silver,rare,12901,Books,The 7 Habits of Highly Effective People - Stephen Covey,1,3
16,38,Female,26282,College,West,Silver,rare,9644,Clothing,Adidas Essentials Logo T-shirt,0,7
17,32,Male,49088,Bachelor,South,Regular,rare,21329,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,5
18,21,Female,20163,College,West,Regular,rare,7612,Food,Milka Alpine Milk Chocolate Bar,0,3
19,33,Female,10660,Bachelor,West,Regular,rare,3129,Clothing,Nike Sportswear Club T-shirt,0,6
20,28,Male,40725,HighSchool,East,Regular,rare,12764,Electronics,Apple iPhone 15 Pro,1,6
21,25,Female,46173,College,North,Regular,occasional,17638,Beauty,La Roche-Posay Effaclar Purifying Foaming Gel Cleanser,0,5
22,29,Male,37894,College,West,Silver,occasional,12838,Clothing,Nike Sportswear Club T-shirt,0,5
23,25,Female,8936,College,West,Regular,rare,3264,Food,Lay's Potato Chips - Classic Flavor,0,5
24,27,Female,36226,College,North,Regular,frequent,12633,Electronics,Sennheiser Momentum 4 Wireless Headphones,1,4
25,27,Male,40646,Bachelor,West,Gold,rare,11869,Food,Pringles Original Potato Crisps,0,5
26,22,Female,7915,College,West,Silver,frequent,2188,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,6
27,34,Male,39287,Masters,North,Regular,occasional,11944,Food,Pringles Original Potato Crisps,0,6
28,31,Female,42196,College,West,Regular,occasional,12137,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,1,6
29,25,Female,38932,Bachelor,West,Silver,frequent,15844,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,5
30,36,Male,42955,Bachelor,East,Regular,frequent,15289,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,4
31,32,Female,6952,Bachelor,West,Regular,occasional,2080,Food,Oishi Prawn Crackers - Spicy Flavor,1,6
32,29,Male,26915,Bachelor,South,Regular,rare,11833,Clothing,Nike Sportswear Club T-shirt,1,4
33,34,Male,9545,College,East,Silver,occasional,4155,Beauty,L’Oreal Paris Infallible 24H Fresh Wear Foundation,0,5
34,34,Female,13128,College,East,Gold,rare,4475,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,6
35,34,Male,13820,College,East,Regular,rare,5888,Electronics,Samsung Galaxy S24,0,6
36,33,Male,43701,College,North,Regular,rare,14083,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,5
37,32,Male,41024,Bachelor,East,Silver,frequent,16783,Electronics,Apple iPhone 15 Pro,1,6
38,30,Male,42930,Masters,East,Regular,rare,17967,Health,Centrum Adults Multivitamin,1,5
39,29,Female,25750,Bachelor,North,Regular,rare,9505,Home,Philips Blender,1,4
